State,Local Hospital Network (LHN),Hospital Name,Granularity,Sector,Number of bed (Actual),Number of clincial staff,Status,Notes
,,GYMPIE PRIVATE HOSPITAL,Facility,PUBLIC,<50,,,
,South West Hospital and Health Service,,LHN,PUBLIC,,365.28,Untouched,
,,AUGATHELLA HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,CHARLEVILLE HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,CUNNAMULLA HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,DIRRANBANDI HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,INJUNE HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,MITCHELL HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,MUNGINDI HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,QUILPIE HOSPITAL,Facility,PUBLIC,<50,,Pilot,
,,ROMA HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,ST GEORGE HOSPITAL QLD,Facility,PUBLIC,<50,,Untouched,
,,SURAT HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,West Moreton Hospital and Health Service,,LHN,PUBLIC,,2575.28,Pilot,
,,IPSWICH HOSPITAL,Facility,PUBLIC,200-500,,Qualified,
,,BOONAH HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,ESK HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,LAIDLEY HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,GATTON HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,THE PARK CENTRE FOR MENTAL HEALTH,Facility,PUBLIC,100-199,,Qualified,
,Torres and Cape Hospital and Health Service,,LHN,PUBLIC,,254.68,Untouched,
,,COOKTOWN HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,THURSDAY ISLAND HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,BAMAGA HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,WEIPA HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,Townsville Hospital and Health Service,,LHN,PUBLIC,,3741.09,Qualified,
,,AYR HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,CHARTERS TOWERS HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,HOME HILL HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,HUGHENDEN HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,INGHAM HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,JOYCE PALMER HEALTH SERVICE,Facility,PUBLIC,<50,,Untouched,
,,RICHMOND HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,The Townsville Hospital and Health Service Hospital,Facility,PUBLIC,,,Untouched,
,,Charters Towers Rehabilitation Unit,Facility,PUBLIC,,,Discovery,
,,Kirwan Rehabilitation Unit,Facility,PUBLIC,,,Untouched,
,,THE TOWNSVILLE HOSPITAL,Facility,PUBLIC,>500,,,
,Wide Bay Hospital and Health Service,,LHN,PUBLIC,,1371.26,Qualified,
,,BIGGENDEN HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,BUNDABERG BASE HOSPITAL,Facility,PUBLIC,200-500,,Untouched,
,,CHILDERS HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,EIDSVOLD HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,GAYNDAH HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,GIN GIN HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,MARYBOROUGH HOSPITAL,Facility,PUBLIC,50-99,,Untouched,
,,MONTO HOSPITAL,Facility,PUBLIC,<50,,Untouched,
,,MUNDUBBERA HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,HERVEY BAY HOSPITAL,Facility,PUBLIC,100-199,,Untouched,
SA,,,State,PUBLIC,,29322,,
,Barossa Hills Fleurieu Local Health Network,,LHN,PUBLIC,,1866,Untouched,
,,ANGASTON DISTRICT HOSPITAL,Facility,PUBLIC,<50,,,
,,FLINDERS MEDICAL CENTRE,Facility,PUBLIC,>500,,,
,,GLENSIDE CAMPUS,Facility,PUBLIC,,,,
,,GUMERACHA DISTRICT SOLDIERS' MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,,
,,KANGAROO ISLAND HEALTH SERVICE,Facility,PUBLIC,<50,,Discovery,"Lots of interest, CTO block"
,,KAPUNDA HOSPITAL,Facility,PUBLIC,<50,,,
,,MOUNT BARKER DISTRICT SOLDIERS' MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,,
,,MOUNT PLEASANT DISTRICT HOSPITAL,Facility,PUBLIC,<50,,,
,,STRATHALBYN AND DISTRICT HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,TANUNDA WAR MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,,
,Central Adelaide Local Health Network,,LHN,PUBLIC,,10443,Qualified,
,,Hampstead Rehabilitation Centre,Facility,PUBLIC,,,,
,,Pregnancy Advisory Centre,Facility,PUBLIC,,,Discovery,
,,ROYAL ADELAIDE HOSPITAL,Facility,PUBLIC,>500,,Discovery,
,,ST MARGARET'S HOSPITAL,Facility,PUBLIC,<50,,,
,,THE QUEEN ELIZABETH HOSPITAL,Facility,PUBLIC,200-500,,Discovery,
,,Glenside Health Services,Facility,PUBLIC,,,Pilot,
,Eyre and Far North Local Health Network,,LHN,PUBLIC,,702,Untouched,
,,CEDUNA DISTRICT HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,COOBER PEDY HOSPITAL AND HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,COWELL DISTRICT HOSPITAL AND AGED CARE,Facility,PUBLIC,<50,,,
,,CRYSTAL BROOK AND DISTRICT HOSPITAL,Facility,PUBLIC,<50,,,
,,ELLISTON HOSPITAL,Facility,PUBLIC,<50,,,
,,EUDUNDA HOSPITAL,Facility,PUBLIC,<50,,,
,,KIMBA DISTRICT HOSPITAL AND AGED CARE,Facility,PUBLIC,<50,,Discovery,
,,PORT LINCOLN HEALTH SERVICE,Facility,PUBLIC,50-99,,,
,,STREAKY BAY HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,TUMBY BAY HOSPITAL AND HEALTH SERVICES,Facility,PUBLIC,<50,,,
,,WUDINNA HOSPITAL,Facility,PUBLIC,<50,,,
,,CLEVE DISTRICT HOSPITAL AND AGED CARE,Facility,PUBLIC,<50,,Untouched,
,Flinders and Upper North Local Health Network,,LHN,PUBLIC,,623,Untouched,
,,HAWKER MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,,
,,LEIGH CREEK HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,PORT AUGUSTA HOSPITAL AND REGIONAL HEALTH SERVICES,Facility,PUBLIC,50-99,,Discovery,
,,QUORN HEALTH SERVICE,Facility,PUBLIC,<50,,Discovery,
,,ROXBY DOWNS HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,WHYALLA HOSPITAL AND HEALTH SERVICES,Facility,PUBLIC,100-199,,Qualified,Awaiting procurement outcome
,Limestone Coast Local Health Network,,LHN,PUBLIC,,980,Untouched,
,,BORDERTOWN MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,KINGSTON SOLDIERS' MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,MILLICENT AND DISTRICTS HOSPITAL AND HEALTH SERVICE,Facility,PUBLIC,<50,,Discovery,
,,MOUNT GAMBIER AND DISTRICTS HEALTH SERVICE,Facility,PUBLIC,50-99,,,
,,NARACOORTE HEALTH SERVICE,Facility,PUBLIC,50-99,,Discovery,
,,PENOLA WAR MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,,
,Northern Adelaide Local Health Network,,LHN,PUBLIC,,3882,Untouched,
,,LYELL MCEWIN HOSPITAL,Facility,PUBLIC,200-500,,Discovery,
,,MODBURY HOSPITAL,Facility,PUBLIC,100-199,,Pilot,
,Riverland Mallee Coorong Local Health Network,,LHN,PUBLIC,,1058,Untouched,
,,BARMERA HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,KAROONDA AND DISTRICT SOLDIERS' MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,Discovery,Strong IMedX relationship
,,LAMEROO DISTRICT HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,LOXTON HOSPITAL COMPLEX,Facility,PUBLIC,<50,,Discovery,
,,MANNUM DISTRICT HOSPITAL,Facility,PUBLIC,<50,,,
,,MENINGIE AND DISTRICTS MEMORIAL HOSPITAL AND HEALTH SERVICES,Facility,PUBLIC,<50,,Discovery,
,,MURRAY BRIDGE SOLDIERS' MEMORIAL HOSPITAL,Facility,PUBLIC,50-99,,,
,,PINNAROO SOLDIERS' MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,,
,,RENMARK PARINGA DISTRICT HOSPITAL,Facility,PUBLIC,<50,,,
,,RIVERLAND GENERAL HOSPITAL,Facility,PUBLIC,50-99,,Discovery,
,,TAILEM BEND DISTRICT HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,WAIKERIE HEALTH SERVICE,Facility,PUBLIC,<50,,Discovery,
,Southern Adelaide Local Health Network,,LHN,PUBLIC,,5814,Untouched,
,,GAWLER HEALTH SERVICE,Facility,PUBLIC,50-99,,,
,,McLaren Vale & Districts War Memorial Hospital Inc,Facility,PUBLIC,,,,
,,NOARLUNGA HOSPITAL,Facility,PUBLIC,50-99,,,
,,SOUTH COAST DISTRICT HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,Women's and Children's Health Network (SA),,LHN,PUBLIC,,2802,Untouched,
,,WOMEN'S AND CHILDREN'S HOSPITAL,Facility,PUBLIC,200-500,,Discovery,
,Yorke and Northern Local Health Network,,LHN,PUBLIC,,1152,Untouched,
,,BALAKLAVA SOLDIERS' MEMORIAL DISTRICT HOSPITAL,Facility,PUBLIC,<50,,,
,,BOOLEROO CENTRE DISTRICT HOSPITAL AND HEALTH SERVICES,Facility,PUBLIC,<50,,,
,,BURRA HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,Central Yorke Peninsula Hospital (Maitland),Facility,PUBLIC,,,,
,,CLARE HOSPITAL,Facility,PUBLIC,<50,,,
,,CUMMINS AND DISTRICT MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,,
,,JAMESTOWN HOSPITAL AND HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,LAURA AND DISTRICT HOSPITAL,Facility,PUBLIC,<50,,,
,,NORTHERN YORKE PENINSULA HEALTH SERVICE (WALLAROO),Facility,PUBLIC,<50,,Discovery,
,,ORROROO AND DISTRICT HEALTH SERVICE,Facility,PUBLIC,<50,,Discovery,
,,PETERBOROUGH SOLDIERS' MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,PORT BROUGHTON AND DISTRICT HOSPITAL AND HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,PORT PIRIE REGIONAL HEALTH SERVICE,Facility,PUBLIC,50-99,,,
,,RIVERTON DISTRICT SOLDIERS' MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,,
,,Snowtown Hospital and Health Service,Facility,PUBLIC,,,,
,,SOUTHERN YORKE PENINSULA HEALTH SERVICE (YORKETOWN),Facility,PUBLIC,<50,,Discovery,
,,SNOWTOWN HOSPITAL,Facility,PUBLIC,,,Discovery,
,,WOOMERA HOSPITAL,Facility,PUBLIC,50-99,,,
TAS,,,State,PUBLIC,,11750,,
,Tasmanian Health Service,,LHN,PUBLIC,,,Untouched,
,,DELORAINE DISTRICT HOSPITAL,Facility,PUBLIC,,,,
,,ROYAL HOBART HOSPITAL,Facility,PUBLIC,200-500,,Discovery,
,,LAUNCESTON GENERAL HOSPITAL,Facility,PUBLIC,200-500,,,
,,BEACONSFIELD DISTRICT HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,CAMPBELL TOWN MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,KING ISLAND MULTI PURPOSE CENTRE,Facility,PUBLIC,<50,,,
,,TOOSEY MEMORIAL HOSPITAL (LONGFORD),Facility,PUBLIC,<50,,,
,,NEW NORFOLK DISTRICT HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,HEALTHWEST (WEST COAST DISTRICT HOSPITAL AT QUEENSTOWN),Facility,PUBLIC,<50,,,
,,ST MARYS COMMUNITY HEALTH CENTRE,Facility,PUBLIC,<50,,Discovery,
,,NORTH EAST SOLDIERS' MEMORIAL HOSPITAL AND COMMUNITY SERVICE CENTRE (SCOTTSDALE HOSPITAL),Facility,PUBLIC,<50,,Qualified,
,,SMITHTON DISTRICT HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,FLINDERS ISLAND MULTI PURPOSE CENTRE,Facility,PUBLIC,<50,,,
,,NORTH WEST REGIONAL HOSPITAL,Facility,PUBLIC,100-199,,,
,,ST HELENS DISTRICT HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,GEORGE TOWN HOSPITAL AND COMMUNITY HEALTH CENTRE,Facility,PUBLIC,<50,,,
,,ESPERANCE MULTI PURPOSE CENTRE,Facility,PUBLIC,<50,,Discovery,
,,MERSEY COMMUNITY HOSPITAL,Facility,PUBLIC,50-99,,,
,,MIDLANDS MULTI PURPOSE CENTRE,Facility,PUBLIC,<50,,,
,,MAY SHAW DISTRICT NURSING CENTRE,Facility,PUBLIC,<50,,,
,,TASMAN HEALTH AND COMMUNITY SERVICE,Facility,PUBLIC,<50,,Qualified,
,,HUON ELDERCARE,Facility,PUBLIC,<50,,Pilot,
,,ALCOHOL AND DRUG SERVICES,Facility,PUBLIC,,,,
VIC,,,State,PUBLIC,,70089.04,,
,Northern Health,,LHN,PUBLIC,,"5,216.40",Qualified,
,,THE KILMORE & DISTRICT HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,THE NORTHERN HOSPITAL [EPPING],Facility,PUBLIC,200-500,,,
,,BUNDOORA EXTENDED CARE CENTRE,Facility,PUBLIC,50-99,,,
,,BROADMEADOWS HEALTH SERVICE,Facility,PUBLIC,100-199,,Discovery,
,,CRAIGIEBURN HEALTH SERVICE,Facility,PUBLIC,<50,,,
,Albury Wodonga Health,,LHN,PUBLIC,,1702,Untouched,
,,ALBURY WODONGA HEALTH [WODONGA CAMPUS],Facility,PUBLIC,100-199,,Discovery,
,Alfred Health,,LHN,PUBLIC,,6266,Qualified,
,,THE ALFRED,Facility,PUBLIC,>500,,Discovery,
,,SANDRINGHAM HOSPITAL,Facility,PUBLIC,50-99,,Discovery,
,,CAULFIELD HOSPITAL,Facility,PUBLIC,200-500,,Discovery,
,Alpine Health,,LHN,PUBLIC,,183.16,Untouched,
,,ALPINE HEALTH [MYRTLEFORD],Facility,PUBLIC,<50,,,
,,ALPINE HEALTH [MOUNT BEAUTY],Facility,PUBLIC,<50,,,
,,ALPINE HEALTH [BRIGHT],Facility,PUBLIC,<50,,,
,Austin Health,,LHN,PUBLIC,,"6,200",Qualified,
,,AUSTIN HOSPITAL [HEIDELBERG],Facility,PUBLIC,>500,,,
,,ROYAL TALBOT REHABILITATION CENTRE [KEW],Facility,PUBLIC,50-99,,Discovery,
,,HEIDELBERG REPATRIATION HOSPITAL [HEIDELBERG WEST],Facility,PUBLIC,100-199,,Discovery,
,Barwon Health,,LHN,PUBLIC,,5140.59,Untouched,
,,UNIVERSITY HOSPITAL GEELONG,Facility,PUBLIC,200-500,,Discovery,
,,THE MCKELLAR CENTRE,Facility,PUBLIC,50-99,,Discovery,"Lots of interest, CTO block"
,,BARWON HEALTH - CAMHS,Facility,PUBLIC,,,,
,,BARWON HEALTH - SOUTH GEELONG RENAL UNIT CAMPUS,Facility,PUBLIC,,,Discovery,
,,BARWON HEALTH - ASHLEY MANOR CAMPUS,Facility,PUBLIC,,,,
,,BARWON HEALTH - NEWCOMB RENAL UNIT CAMPUS,Facility,PUBLIC,,,,
,,BARWON HEALTH NORTH,Facility,PUBLIC,,,Discovery,
,,COLAC AREA HEALTH,Facility,PUBLIC,<50,,Discovery,
,Beaufort and Skipton Health Service,,LHN,PUBLIC,,111.4,Untouched,
,,BEAUFORT & SKIPTON HEALTH SERVICE [BEAUFORT],Facility,PUBLIC,<50,,,
,,BEAUFORT & SKIPTON HEALTH SERVICE [SKIPTON],Facility,PUBLIC,<50,,,
,Benalla and District Memorial Hospital,,LHN,PUBLIC,,219.71,Untouched,
,,BENALLA & DISTRICT MEMORIAL HOSPITAL,Facility,PUBLIC,50-99,,,
,Bendigo Health Care Group,,LHN,PUBLIC,,"2,791.28",Qualified,
,,BENDIGO HEALTH CARE GROUP [ANNE CAUDLE],Facility,PUBLIC,<50,,Discovery,
,,The Bendigo Hospital,Facility,PUBLIC,,,Discovery,
,Calvary Health Care Bethlehem Limited,,LHN,PUBLIC,,5293.6,Untouched,
,,CALVARY HEALTH CARE BETHLEHEM,Facility,PUBLIC,<50,,,
,Central Gippsland Health Service,,LHN,PUBLIC,,577,Untouched,
,,CENTRAL GIPPSLAND HEALTH SERVICE [SALE],Facility,PUBLIC,50-99,,,
,,CENTRAL GIPPSLAND HEALTH SERVICE [MAFFRA],Facility,PUBLIC,<50,,,
,NCN Health,,LHN,PUBLIC,,286.09,Untouched,
,,COBRAM DISTRICT HOSPITAL,Facility,PUBLIC,<50,,,
,,NATHALIA DISTRICT HOSPITAL,Facility,PUBLIC,<50,,,
,,NUMURKAH & DISTRICT HEALTH SERVICE,Facility,PUBLIC,<50,,,
,East Grampians Health Service,,LHN,PUBLIC,,273.89,Untouched,
,,EAST GRAMPIANS HEALTH SERVICE [ARARAT],Facility,PUBLIC,<50,,Discovery,
,,EAST GRAMPIANS HEALTH SERVICE [WILLAURA],Facility,PUBLIC,<50,,,
,East Wimmera Health Service,,LHN,PUBLIC,,175,Untouched,
,,EAST WIMMERA HEALTH SERVICE [DONALD],Facility,PUBLIC,<50,,,
,,EAST WIMMERA HEALTH SERVICE [WYCHEPROOF],Facility,PUBLIC,<50,,,
,,EAST WIMMERA HEALTH SERVICE [CHARLTON],Facility,PUBLIC,<50,,Discovery,
,,EAST WIMMERA HEALTH SERVICE [BIRCHIP],Facility,PUBLIC,<50,,Discovery,
,,EAST WIMMERA HEALTH SERVICE [ST ARNAUD],Facility,PUBLIC,<50,,,
,Eastern Health,,LHN,PUBLIC,,"6,625",Untouched,
,,BOX HILL HOSPITAL,Facility,PUBLIC,>500,,,
,,HEALESVILLE HOSPITAL AND YARRA VALLEY HEALTH,Facility,PUBLIC,<50,,Discovery,
,,ANGLISS HOSPITAL,Facility,PUBLIC,100-199,,,
,,MAROONDAH HOSPITAL [EAST RINGWOOD],Facility,PUBLIC,200-500,,Discovery,
,,THE PETER JAMES CENTRE [EAST BURWOOD],Facility,PUBLIC,100-199,,Discovery,
,,YARRA RANGES HEALTH,Facility,PUBLIC,<50,,,
,,WANTIRNA HEALTH,Facility,PUBLIC,50-99,,,
,,EASTERN HEALTH BLACKBURN PUBLIC SURGICAL CENTRE,Facility,PUBLIC,,,,
,Grampians Health,,LHN,PUBLIC,,"4,019",Qualified,
,,DIMBOOLA DISTRICT HOSPITAL,Facility,PUBLIC,<50,,,
,,WIMMERA BASE HOSPITAL [HORSHAM],Facility,PUBLIC,50-99,,Pilot,
,,STAWELL REGIONAL HEALTH,Facility,PUBLIC,<50,,,
,,EDENHOPE AND DISTRICT MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,Gippsland Southern Health Service,,LHN,PUBLIC,,263.31,Untouched,
,,GIPPSLAND SOUTHERN HEALTH SERVICE - KORUMBURRA,Facility,PUBLIC,<50,,Discovery,
,,GIPPSLAND SOUTHERN HEALTH SERVICE - LEONGATHA,Facility,PUBLIC,<50,,Discovery,Strong IMedX relationship
,Goulburn Valley Health,,LHN,PUBLIC,,"1,622.72",Untouched,
,,GOULBURN VALLEY HEALTH [SHEPPARTON],Facility,PUBLIC,200-500,,,
,,GOULBURN VALLEY HEALTH [TATURA],Facility,PUBLIC,200-500,,,
,,GOULBURN VALLEY HEALTH [WARANGA],Facility,PUBLIC,<50,,Discovery,
,,GOULBURN VALLEY HEALTH - CENTRE FOR OLDER PERSONS,Facility,PUBLIC,,,Discovery,
,Central Highlands Rural Health,,LHN,PUBLIC,,309.82,Untouched,
,,CENTRAL HIGHLANDS RURAL HEALTH - CLUNES,Facility,PUBLIC,<50,,,
,,CENTRAL HIGHLANDS RURAL HEALTH - TRENTHAM,Facility,PUBLIC,<50,,,
,Hesse Rural Health Service (Winchelsea),,LHN,PUBLIC,,94.08,Untouched,
,,HESSE RURAL HEALTH SERVICE [WINCHELSEA],Facility,PUBLIC,<50,,,
,Kyabram and District Health Service,,LHN,PUBLIC,,175.42,Untouched,
,,KYABRAM & DISTRICT HEALTH SERVICE,Facility,PUBLIC,<50,,,
,Latrobe Regional Hospital,,LHN,PUBLIC,,1590.55,Qualified,
,,LATROBE REGIONAL HOSPITAL [TRARALGON],Facility,PUBLIC,200-500,,,
,,CENTRAL GIPPSLAND HEALTH SERVICE (HEYFIELD),Facility,PUBLIC,,,Discovery,
,Dhelkaya Health,,LHN,PUBLIC,,416.4,Untouched,
,,CASTLEMAINE HEALTH,Facility,PUBLIC,50-99,,,
,,MALDON HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,Mallee Track Health and Community Service,,LHN,PUBLIC,,122.18,Untouched,
,,MALLEE TRACK HEALTH & COMMUNITY SERVICE [OUYEN],Facility,PUBLIC,<50,,Pilot,
,,Mallee Track Health & Community Service [Sea Lake],Facility,PUBLIC,,,,
,Maryborough District Health Service,,LHN,PUBLIC,,287.8,Untouched,
,,MARYBOROUGH DISTRICT HEALTH SERVICE [DUNOLLY],Facility,PUBLIC,<50,,Discovery,
,,MARYBOROUGH DISTRICT HEALTH SERVICE [MARYBOROUGH],Facility,PUBLIC,<50,,,
,Melbourne Health,,LHN,PUBLIC,,"6,644",Untouched,
,,ROYAL MELBOURNE HOSPITAL [PARKVILLE],Facility,PUBLIC,>500,,,
,,ROYAL MELBOURNE HOSPITAL- ROYAL PARK CAMPUS,Facility,PUBLIC,100-199,,,
,,Orygen Inpatient Unit,Facility,PUBLIC,,,Discovery,Strong IMedX relationship
,Mercy Public Hospital Inc.,,LHN,PUBLIC,,122.18,Untouched,
,,MERCY HEALTH - O'CONNELL FAMILY CENTRE,Facility,PUBLIC,<50,,,
,,MERCY HOSPITAL FOR WOMEN,Facility,PUBLIC,100-199,,,
,,WERRIBEE MERCY HOSPITAL,Facility,PUBLIC,200-500,,,
,,Ursula Frayne Centre,Facility,PUBLIC,,,Discovery,
,,WERRIBEE MERCY MENTAL HEALTH PROGRAM,Facility,PUBLIC,,,,
,Moyne Health Services (Port Fairy),,LHN,PUBLIC,,121.16,Untouched,
,,Moyne Health Services [Port Fairy],Facility,PUBLIC,,,,
,Great Ocean Road Health,,LHN,PUBLIC,,95.65,Untouched,
,,OTWAY HEALTH & COMMUNITY SERVICES [APOLLO BAY],Facility,PUBLIC,<50,,,
,Peninsula Health,,LHN,PUBLIC,,TBF,Untouched,
,,ROSEBUD HOSPITAL,Facility,PUBLIC,50-99,,Qualified,
,,FRANKSTON HOSPITAL,Facility,PUBLIC,200-500,,,
,,GOLF LINKS ROAD REHABILITATION CENTRE,Facility,PUBLIC,50-99,,,
,,THE MORNINGTON CENTRE,Facility,PUBLIC,50-99,,Discovery,
,,FRANKSTON PUBLIC SURGICAL CENTRE,Facility,PUBLIC,,,,
,,MOUNT ELIZA CENTRE,Facility,PUBLIC,,,,
,,ADULT PREVENTION & RECOVERY CARE (A-PARC),Facility,PUBLIC,,,,
,Peter MacCallum Cancer Institute,,LHN,PUBLIC,,TBF,Qualified,
,,PETER MACCALLUM CANCER CENTRE,Facility,PUBLIC,100-199,,Qualified,
,Rochester and Elmore District Health Service,,LHN,PUBLIC,,86.39,Untouched,
,,ROCHESTER & ELMORE DISTRICT HEALTH SERVICE,Facility,PUBLIC,<50,,,
,Royal Children's Hospital,,LHN,PUBLIC,,TBF,Qualified,
,,ROYAL CHILDREN'S HOSPITAL [PARKVILLE],Facility,PUBLIC,200-500,,Discovery,
,Royal Victorian Eye and Ear Hospital,,LHN,PUBLIC,,TBF,Untouched,
,,THE ROYAL VICTORIAN EYE & EAR HOSPITAL,Facility,PUBLIC,50-99,,Pilot,
,Royal Women's Hospital,,LHN,PUBLIC,,TBF,Untouched,
,,ROYAL WOMEN'S HOSPITAL [PARKVILLE],Facility,PUBLIC,200-500,,,
,,WOMEN'S AT SANDRINGHAM,Facility,PUBLIC,<50,,Discovery,
,Rural Northwest Health,,LHN,PUBLIC,,150.2,Untouched,
,,RURAL NORTHWEST HEALTH [WARRACKNABEAL],Facility,PUBLIC,<50,,,
,,RURAL NORTHWEST HEALTH [HOPETOUN],Facility,PUBLIC,<50,,,
,South West Healthcare,,LHN,PUBLIC,,"1,134",Qualified,
,,SOUTH WEST HEALTHCARE [CAMPERDOWN],Facility,PUBLIC,<50,,,
,,SOUTH WEST HEALTHCARE [WARRNAMBOOL],Facility,PUBLIC,100-199,,,
,Swan Hill District Health,,LHN,PUBLIC,,362,Untouched,
,,SWAN HILL DISTRICT HEALTH [SWAN HILL],Facility,PUBLIC,50-99,,,
,,Swan Hill District Health [Nyah],Facility,PUBLIC,,,Competitor,Lyrebird signed 1+1+1 contract
,Terang and Mortlake Health Service (Terang),,LHN,PUBLIC,,73.13,Untouched,
,,TERANG & MORTLAKE HEALTH SERVICE [TERANG],Facility,PUBLIC,<50,,Pilot,
,Timboon and District Healthcare Service,,LHN,PUBLIC,,54.4,Qualified,
,,TIMBOON & DISTRICT HEALTHCARE SERVICE,Facility,PUBLIC,<50,,,
,Forensicare,,LHN,PUBLIC,,727.4,Untouched,
,,Dame Phyllis Frost Centre - Marmak unit,Facility,PUBLIC,,,,
,Upper Murray Health and Community Services (Corryong),,LHN,PUBLIC,,85.82,Untouched,
,,UPPER MURRAY HEALTH & COMMUNITY SERVICES [CORRYONG],Facility,PUBLIC,<50,,,
,Queen Elizabeth Centre,,LHN,PUBLIC,,81.34,Untouched,
,,QUEEN ELIZABETH CENTRE [NOBLE PARK],Facility,PUBLIC,<50,,,
,West Gippsland Healthcare Group,,LHN,PUBLIC,,755,Untouched,
,,WEST GIPPSLAND HEALTHCARE GROUP [WARRAGUL],Facility,PUBLIC,50-99,,Qualified,
,West Wimmera Health Service,,LHN,PUBLIC,,329,Untouched,
,,WEST WIMMERA HEALTH SERVICE [JEPARIT],Facility,PUBLIC,<50,,,
,,WEST WIMMERA HEALTH SERVICE [RUPANYUP],Facility,PUBLIC,<50,,,
,,WEST WIMMERA HEALTH SERVICE [KANIVA],Facility,PUBLIC,<50,,,
,,WEST WIMMERA HEALTH SERVICE [NHILL],Facility,PUBLIC,<50,,,
,,WEST WIMMERA HEALTH SERVICE [RAINBOW],Facility,PUBLIC,<50,,,
,Western District Health Service,,LHN,PUBLIC,,523.81,Untouched,
,,WESTERN DISTRICT HEALTH SERVICE [COLERAINE DISTRICT HEALTH SERVICE],Facility,PUBLIC,<50,,Qualified,
,,WESTERN DISTRICT HEALTH SERVICE [HAMILTON],Facility,PUBLIC,50-99,,Pilot,
,,WESTERN DISTRICT HEALTH SERVICE [PENSHURST],Facility,PUBLIC,<50,,,
,Western Health,,LHN,PUBLIC,,7272,Untouched,
,,DJERRIWARRH HEALTH SERVICE [BACCHUS MARSH],Facility,PUBLIC,<50,,,
,,MELTON HEALTH,Facility,PUBLIC,<50,,Pilot,
,,WILLIAMSTOWN HOSPITAL,Facility,PUBLIC,100-199,,Discovery,
,,WESTERN HOSPITAL [FOOTSCRAY],Facility,PUBLIC,200-500,,Discovery,
,,SUNSHINE HOSPITAL,Facility,PUBLIC,>500,,,
,,SUNBURY DAY HOSPITAL,Facility,PUBLIC,<50,,Qualified,
